listing_number,property_type,furnished,pets_allowed,backup_water,bedrooms,bathrooms,kitchen,lounge,dining_room,parking,garden,pool,garage,erf_size (m²),floor_area (m²),suburb,city,province,price_type,price (ZAR)
112089369,Apartment / Flat,Yes,No,Unknown,3,3,1,1,1,2,1,0,1,354.0,268.0,Bantry Bay,Cape Town,Western Cape,Per Month,75000.0
115796297,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,331.6666666666667,306.8,Cape Town City Centre,Cape Town,Western Cape,Per m²,125.0
115796234,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,331.6666666666667,306.8,Cape Town City Centre,Cape Town,Western Cape,Per m²,125.0
109357964,Apartment / Flat,Yes,Yes,Unknown,2,2,1,1,1,2,1,0,1,354.0,100.0,De Waterkant,Cape Town,Western Cape,Per Month,25500.0
115545794,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,590.5,688.2727272727273,Maitland,Cape Town,Western Cape,Per Month,67950.0
115541862,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,418.77777777777777,485.6190476190476,Mowbray,Cape Town,Western Cape,Per Month,399950.0
115541848,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,479.76271186440675,360.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,66600.0
115546722,Commercial,Unknown,No,Yes,1,1,1,1,1,3,5,0,5,445.3636363636364,434.0,Rondebosch,Cape Town,Western Cape,Per Month,77940.0
115546695,Commercial,Unknown,No,Yes,1,8,5,1,1,3,5,0,5,445.3636363636364,439.88235294117646,Rondebosch,Cape Town,Western Cape,Per Month,308700.0
115716971,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,105.0,105.0,Gardens,Cape Town,Western Cape,Per Month,19425.0
115770527,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,78.0,78.0,Green Point,Cape Town,Western Cape,Per Month,15600.0
115577800,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,241.1382113821138,218.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,43600.0
115131802,Commercial,Unknown,No,Unknown,1,3,1,1,1,5,5,0,5,613.3333333333334,765.0,Diep River,Cape Town,Western Cape,Per Month,114750.0
115703684,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,354.0,438.0,Westlake,Cape Town,Western Cape,Per Month,46800.0
114667847,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,312.0,312.0,Cape Town City Centre,Cape Town,Western Cape,Per Month,78000.0
115773589,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,90.0,70.0,Wetton,Cape Town,Western Cape,Per Month,8000.0
115626531,Commercial,Unknown,No,Unknown,1,2,1,1,1,2,5,0,5,129.0,129.0,Sea Point,Cape Town,Western Cape,Per Month,23865.0
115252246,Apartment / Flat,Yes,No,Unknown,1,1,1,1,1,1,1,0,1,317.25,89.45714285714286,Cape Town City Centre,Cape Town,Western Cape,Per Month,18000.0
115546894,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,612.3,573.68,Gardens,Cape Town,Western Cape,Per Month,278200.0
115550252,Industrial,Unknown,No,Unknown,2,2,1,0,0,2,0,0,0,145.0,274.0,Ottery,Cape Town,Western Cape,Per Month,24112.0
115798306,Apartment / Flat,Yes,No,Unknown,1,2,1,1,1,1,1,0,1,215.0,85.0,Vredehoek,Cape Town,Western Cape,Per Month,30000.0
115629405,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,342.5,307.0,Diep River,Cape Town,Western Cape,Per Month,32235.0
115555397,Industrial,No,No,Unknown,2,5,2,0,0,0,0,0,0,892.0,625.0,Woodstock,Cape Town,Western Cape,Per Month,43750.0
110103523,Apartment / Flat,Yes,No,Unknown,0,1,1,1,1,1,1,0,1,55.0,52.5,Zonnebloem,Cape Town,Western Cape,Per Month,13000.0
115670145,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,612.3,573.68,Gardens,Cape Town,Western Cape,Per Month,426800.0
115540229,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,166.84615384615384,179.0,De Waterkant,Cape Town,Western Cape,Per Month,35800.0
115767004,Industrial,No,No,Unknown,2,4,1,0,0,4,0,0,0,424.0,530.0,Paarden Eiland,Cape Town,Western Cape,Per Month,45000.0
108284326,Apartment / Flat,Yes,No,Unknown,2,2,1,1,1,1,1,0,2,153.5625,83.0,Sea Point,Cape Town,Western Cape,Per Month,38000.0
115797619,House,No,No,Unknown,2,1,1,1,1,1,2,0,2,300.0,200.0,Marina Da Gama,Cape Town,Western Cape,Per Month,25000.0
115562206,Commercial,No,No,Unknown,1,2,1,1,1,3,5,0,5,253.4,102.0,Salt River,Cape Town,Western Cape,Per Month,21451.0
114470997,Industrial,Unknown,No,Unknown,2,2,1,0,0,4,0,0,0,354.0,200.0,Epping Industrial,Cape Town,Western Cape,Per Month,147350.0
115788582,Apartment / Flat,No,No,Unknown,2,2,1,1,1,2,1,1,1,75.0,93.58823529411765,Green Point,Cape Town,Western Cape,Per Month,34000.0
113961419,Apartment / Flat,Yes,No,Unknown,4,2,1,1,1,1,1,0,1,201.5,154.0,Sea Point,Cape Town,Western Cape,Per Month,50000.0
115703280,Commercial,Unknown,No,Unknown,1,3,2,1,1,5,5,0,5,505.9,521.2972972972973,Newlands,Cape Town,Western Cape,Per Month,182280.0
114385188,House,Yes,No,Unknown,1,2,1,1,1,1,1,1,2,354.0,200.0,Kenilworth Upper,Cape Town,Western Cape,Per Month,7000.0
115767233,Apartment / Flat,Yes,Yes,Unknown,2,2,1,1,1,2,1,0,1,75.0,92.0,Green Point,Cape Town,Western Cape,Per Month,32500.0
115765662,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,192.0,192.0,Wynberg,Cape Town,Western Cape,Per m²,193.0
115630764,Apartment / Flat,Yes,Yes,Unknown,2,2,1,1,1,1,1,1,1,153.5625,65.0,Sea Point,Cape Town,Western Cape,Per Month,34500.0
115766323,Commercial,Unknown,No,Yes,1,2,1,1,1,5,5,0,5,210.28571428571428,150.0,Salt River,Cape Town,Western Cape,Per Month,14518.0
115543927,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,612.3,573.68,Gardens,Cape Town,Western Cape,Per Month,426800.0
115785355,Apartment / Flat,Yes,No,Unknown,3,3,1,1,1,2,1,0,1,90.0,179.33333333333334,Waterfront,Cape Town,Western Cape,Per Month,120000.0
